epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681293274783,2023-04-12T11:54:34.783,3.523,-0.046,-0.001,-0.015
1681293274793,2023-04-12T11:54:34.793,3.533,-0.043,0.001,-0.017
1681293274803,2023-04-12T11:54:34.803,3.543,-0.049,-0.002,-0.021
1681293274812,2023-04-12T11:54:34.812,3.552,-0.052,-0.010,-0.030
1681293274822,2023-04-12T11:54:34.822,3.562,-0.045,-0.019,-0.035
1681293274832,2023-04-12T11:54:34.832,3.572,-0.031,-0.017,-0.031
1681293274843,2023-04-12T11:54:34.843,3.583,-0.019,-0.009,-0.030
1681293274852,2023-04-12T11:54:34.852,3.592,-0.024,-0.007,-0.029
1681293274862,2023-04-12T11:54:34.862,3.602,-0.034,-0.010,-0.038
1681293274872,2023-04-12T11:54:34.872,3.612,-0.037,-0.009,-0.036
1681293274882,2023-04-12T11:54:34.882,3.622,-0.045,-0.004,-0.034
1681293274893,2023-04-12T11:54:34.893,3.633,-0.048,-0.009,-0.046
1681293274901,2023-04-12T11:54:34.901,3.641,-0.049,-0.010,-0.050
1681293274912,2023-04-12T11:54:34.912,3.652,-0.055,-0.013,-0.055
1681293274922,2023-04-12T11:54:34.922,3.662,-0.054,-0.028,-0.055
1681293274932,2023-04-12T11:54:34.932,3.672,-0.034,-0.041,-0.050
1681293274942,2023-04-12T11:54:34.942,3.682,-0.010,-0.041,-0.046
1681293274951,2023-04-12T11:54:34.951,3.691,-0.008,-0.030,-0.045
1681293274961,2023-04-12T11:54:34.961,3.701,-0.015,-0.034,-0.038
1681293274972,2023-04-12T11:54:34.972,3.712,-0.023,-0.031,-0.021
1681293274982,2023-04-12T11:54:34.982,3.722,-0.029,-0.013,-0.020
1681293274992,2023-04-12T11:54:34.992,3.732,-0.045,0.012,-0.034
1681293275001,2023-04-12T11:54:35.001,3.741,-0.045,0.029,-0.035
1681293275011,2023-04-12T11:54:35.011,3.751,-0.052,0.032,-0.035
1681293275021,2023-04-12T11:54:35.021,3.761,-0.060,0.022,-0.034
1681293275032,2023-04-12T11:54:35.032,3.772,-0.060,0.021,-0.031
1681293275042,2023-04-12T11:54:35.042,3.782,-0.060,0.015,-0.026
1681293275052,2023-04-12T11:54:35.052,3.792,-0.069,-0.000,-0.025
1681293275061,2023-04-12T11:54:35.061,3.801,-0.072,-0.017,-0.025
1681293275071,2023-04-12T11:54:35.071,3.811,-0.062,-0.041,-0.017
1681293275082,2023-04-12T11:54:35.082,3.822,-0.047,-0.074,-0.025
1681293275092,2023-04-12T11:54:35.092,3.832,-0.039,-0.113,-0.050
1681293275101,2023-04-12T11:54:35.101,3.841,-0.012,-0.122,-0.054
1681293275111,2023-04-12T11:54:35.111,3.851,0.015,-0.112,-0.061
1681293275121,2023-04-12T11:54:35.121,3.861,0.013,-0.086,-0.094
1681293275131,2023-04-12T11:54:35.131,3.871,0.022,-0.042,-0.100
1681293275140,2023-04-12T11:54:35.140,3.880,0.006,0.006,-0.084
1681293275150,2023-04-12T11:54:35.150,3.890,-0.020,0.034,-0.065
1681293275161,2023-04-12T11:54:35.161,3.901,-0.044,0.029,-0.073
1681293275171,2023-04-12T11:54:35.171,3.911,-0.042,0.001,-0.078
1681293275181,2023-04-12T11:54:35.181,3.921,-0.010,-0.024,-0.066
1681293275190,2023-04-12T11:54:35.190,3.930,-0.011,-0.041,-0.061
1681293275200,2023-04-12T11:54:35.200,3.940,-0.044,-0.063,-0.094
1681293275210,2023-04-12T11:54:35.210,3.950,-0.047,-0.073,-0.125
1681293275221,2023-04-12T11:54:35.221,3.961,-0.026,-0.074,-0.123
1681293275231,2023-04-12T11:54:35.231,3.971,0.001,-0.078,-0.111
1681293275240,2023-04-12T11:54:35.240,3.980,0.016,-0.079,-0.101
1681293275250,2023-04-12T11:54:35.250,3.990,0.013,-0.068,-0.115
1681293275260,2023-04-12T11:54:35.260,4.000,0.008,-0.053,-0.122
1681293275270,2023-04-12T11:54:35.270,4.010,-0.005,-0.043,-0.133
1681293275281,2023-04-12T11:54:35.281,4.021,-0.022,-0.030,-0.141
1681293275291,2023-04-12T11:54:35.291,4.031,-0.018,-0.047,-0.166
1681293275300,2023-04-12T11:54:35.300,4.040,-0.035,-0.065,-0.158
1681293275310,2023-04-12T11:54:35.310,4.050,-0.043,-0.078,-0.141
1681293275320,2023-04-12T11:54:35.320,4.060,-0.016,-0.111,-0.108
1681293275331,2023-04-12T11:54:35.331,4.071,-0.007,-0.132,-0.076
1681293275339,2023-04-12T11:54:35.339,4.079,-0.022,-0.147,-0.072
1681293275350,2023-04-12T11:54:35.350,4.090,-0.034,-0.132,-0.068
1681293275360,2023-04-12T11:54:35.360,4.100,-0.033,-0.108,-0.064
1681293275370,2023-04-12T11:54:35.370,4.110,-0.018,-0.134,-0.067
1681293275379,2023-04-12T11:54:35.379,4.119,-0.024,-0.169,-0.057
1681293275389,2023-04-12T11:54:35.389,4.129,-0.030,-0.166,-0.038
1681293275399,2023-04-12T11:54:35.399,4.139,-0.026,-0.137,-0.035
1681293275410,2023-04-12T11:54:35.410,4.150,-0.022,-0.103,-0.034
1681293275420,2023-04-12T11:54:35.420,4.160,-0.005,-0.078,-0.024
1681293275429,2023-04-12T11:54:35.429,4.169,-0.005,-0.053,-0.032
1681293275439,2023-04-12T11:54:35.439,4.179,-0.023,-0.030,-0.043
1681293275449,2023-04-12T11:54:35.449,4.189,-0.052,0.006,-0.071
1681293275459,2023-04-12T11:54:35.459,4.199,-0.080,0.015,-0.095
1681293275470,2023-04-12T11:54:35.470,4.210,-0.096,-0.011,-0.100
1681293275478,2023-04-12T11:54:35.478,4.218,-0.095,-0.045,-0.105
1681293275489,2023-04-12T11:54:35.489,4.229,-0.088,-0.059,-0.109
1681293275499,2023-04-12T11:54:35.499,4.239,-0.077,-0.066,-0.094
1681293275509,2023-04-12T11:54:35.509,4.249,-0.078,-0.077,-0.064
1681293275519,2023-04-12T11:54:35.519,4.259,-0.082,-0.104,-0.040
1681293275530,2023-04-12T11:54:35.530,4.270,-0.036,-0.108,-0.011
1681293275539,2023-04-12T11:54:35.539,4.279,0.009,-0.076,0.019
1681293275549,2023-04-12T11:54:35.549,4.289,0.014,-0.023,0.023
1681293275559,2023-04-12T11:54:35.559,4.299,0.020,0.032,0.054
1681293275569,2023-04-12T11:54:35.569,4.309,0.009,0.062,0.089
1681293275578,2023-04-12T11:54:35.578,4.318,0.024,0.092,0.119
1681293275588,2023-04-12T11:54:35.588,4.328,0.020,0.118,0.219
1681293275599,2023-04-12T11:54:35.599,4.339,-0.011,0.100,0.336
1681293275609,2023-04-12T11:54:35.609,4.349,-0.061,0.076,0.335
1681293275619,2023-04-12T11:54:35.619,4.359,-0.105,0.138,0.265
1681293275628,2023-04-12T11:54:35.628,4.368,-0.160,0.192,0.226
1681293275638,2023-04-12T11:54:35.638,4.378,-0.229,0.163,0.219
1681293275648,2023-04-12T11:54:35.648,4.388,-0.306,0.160,0.203
1681293275659,2023-04-12T11:54:35.659,4.399,-0.364,0.189,0.213
1681293275669,2023-04-12T11:54:35.669,4.409,-0.356,0.193,0.192
1681293275678,2023-04-12T11:54:35.678,4.418,-0.264,0.159,0.178
1681293275688,2023-04-12T11:54:35.688,4.428,-0.210,0.122,0.191
1681293275698,2023-04-12T11:54:35.698,4.438,-0.151,0.105,0.175
1681293275708,2023-04-12T11:54:35.708,4.448,-0.049,0.090,0.131
1681293275717,2023-04-12T11:54:35.717,4.457,0.098,0.055,0.118
1681293275727,2023-04-12T11:54:35.727,4.467,0.237,0.026,0.169
1681293275738,2023-04-12T11:54:35.738,4.478,0.282,0.013,0.184
1681293275748,2023-04-12T11:54:35.748,4.488,0.320,0.005,0.166
1681293275758,2023-04-12T11:54:35.758,4.498,0.325,0.014,0.152
1681293275767,2023-04-12T11:54:35.767,4.507,0.258,0.033,0.107
1681293275779,2023-04-12T11:54:35.779,4.519,0.156,0.051,0.066
1681293275788,2023-04-12T11:54:35.788,4.528,0.101,0.047,0.048
1681293275798,2023-04-12T11:54:35.798,4.538,0.068,0.007,0.011
1681293275808,2023-04-12T11:54:35.808,4.548,0.005,-0.056,-0.039
1681293275817,2023-04-12T11:54:35.817,4.557,-0.012,-0.109,-0.046
1681293275827,2023-04-12T11:54:35.827,4.567,0.005,-0.135,-0.063
1681293275837,2023-04-12T11:54:35.837,4.577,0.047,-0.128,-0.059
1681293275848,2023-04-12T11:54:35.848,4.588,-0.013,-0.099,-0.021
1681293275858,2023-04-12T11:54:35.858,4.598,-0.162,-0.095,0.001
1681293275867,2023-04-12T11:54:35.867,4.607,-0.234,-0.087,0.003
1681293275877,2023-04-12T11:54:35.877,4.617,-0.200,-0.043,0.009
1681293275887,2023-04-12T11:54:35.887,4.627,-0.127,0.005,0.014
1681293275897,2023-04-12T11:54:35.897,4.637,-0.079,0.062,0.030
1681293275908,2023-04-12T11:54:35.908,4.648,-0.062,0.095,0.050
1681293275916,2023-04-12T11:54:35.916,4.656,-0.071,0.094,0.049
1681293275927,2023-04-12T11:54:35.927,4.667,-0.065,0.088,0.044
1681293275937,2023-04-12T11:54:35.937,4.677,-0.039,0.080,0.047
1681293275947,2023-04-12T11:54:35.947,4.687,-0.006,0.072,0.043
1681293275957,2023-04-12T11:54:35.957,4.697,0.021,0.070,0.040
1681293275966,2023-04-12T11:54:35.966,4.706,0.024,0.068,0.060
1681293275977,2023-04-12T11:54:35.977,4.717,0.008,0.062,0.075
1681293275987,2023-04-12T11:54:35.987,4.727,-0.016,0.050,0.076
1681293275997,2023-04-12T11:54:35.997,4.737,-0.033,0.042,0.084
1681293276006,2023-04-12T11:54:36.006,4.746,-0.034,0.032,0.094
1681293276018,2023-04-12T11:54:36.018,4.758,-0.036,0.009,0.099
1681293276026,2023-04-12T11:54:36.026,4.766,-0.041,-0.002,0.090
1681293276037,2023-04-12T11:54:36.037,4.777,-0.028,0.003,0.081
1681293276047,2023-04-12T11:54:36.047,4.787,-0.014,-0.001,0.076
1681293276056,2023-04-12T11:54:36.056,4.796,-0.018,-0.007,0.068
1681293276066,2023-04-12T11:54:36.066,4.806,-0.018,-0.001,0.059
1681293276076,2023-04-12T11:54:36.076,4.816,-0.024,0.008,0.049
1681293276086,2023-04-12T11:54:36.086,4.826,-0.028,0.016,0.050
1681293276097,2023-04-12T11:54:36.097,4.837,-0.034,0.026,0.049
1681293276105,2023-04-12T11:54:36.105,4.845,-0.041,0.025,0.041
1681293276116,2023-04-12T11:54:36.116,4.856,-0.039,0.009,0.044
1681293276126,2023-04-12T11:54:36.126,4.866,-0.037,-0.011,0.048
1681293276136,2023-04-12T11:54:36.136,4.876,-0.036,-0.011,0.051
1681293276146,2023-04-12T11:54:36.146,4.886,-0.037,0.005,0.054
1681293276155,2023-04-12T11:54:36.155,4.895,-0.036,0.019,0.053
1681293276165,2023-04-12T11:54:36.165,4.905,-0.029,0.024,0.050
1681293276176,2023-04-12T11:54:36.176,4.916,-0.031,0.028,0.045
1681293276186,2023-04-12T11:54:36.186,4.926,-0.029,0.030,0.045
1681293276196,2023-04-12T11:54:36.196,4.936,-0.015,0.022,0.047
1681293276205,2023-04-12T11:54:36.205,4.945,-0.003,0.003,0.043
1681293276215,2023-04-12T11:54:36.215,4.955,0.003,-0.014,0.038
1681293276226,2023-04-12T11:54:36.226,4.966,0.003,-0.031,0.040
1681293276236,2023-04-12T11:54:36.236,4.976,-0.002,-0.043,0.043
1681293276246,2023-04-12T11:54:36.246,4.986,-0.019,-0.044,0.036
1681293276256,2023-04-12T11:54:36.256,4.996,-0.031,-0.040,0.030
1681293276265,2023-04-12T11:54:36.265,5.005,-0.030,-0.031,0.024
1681293276275,2023-04-12T11:54:36.275,5.015,-0.022,-0.032,0.016
1681293276286,2023-04-12T11:54:36.286,5.026,-0.009,-0.033,0.016
1681293276296,2023-04-12T11:54:36.296,5.036,-0.001,-0.028,0.017
1681293276305,2023-04-12T11:54:36.305,5.045,-0.004,-0.024,0.024
1681293276315,2023-04-12T11:54:36.315,5.055,-0.025,-0.024,0.025
1681293276325,2023-04-12T11:54:36.325,5.065,-0.039,-0.023,0.027
1681293276335,2023-04-12T11:54:36.335,5.075,-0.045,-0.022,0.027
1681293276344,2023-04-12T11:54:36.344,5.084,-0.043,-0.018,0.031
1681293276354,2023-04-12T11:54:36.354,5.094,-0.034,-0.014,0.035
1681293276365,2023-04-12T11:54:36.365,5.105,-0.024,-0.008,0.033
1681293276375,2023-04-12T11:54:36.375,5.115,-0.016,-0.008,0.035
1681293276385,2023-04-12T11:54:36.385,5.125,-0.006,-0.010,0.030
1681293276394,2023-04-12T11:54:36.394,5.134,0.008,-0.010,0.033
1681293276404,2023-04-12T11:54:36.404,5.144,0.013,-0.007,0.036
1681293276415,2023-04-12T11:54:36.415,5.155,0.003,-0.004,0.036
1681293276425,2023-04-12T11:54:36.425,5.165,-0.013,-0.006,0.036
1681293276435,2023-04-12T11:54:36.435,5.175,-0.026,-0.006,0.030
1681293276444,2023-04-12T11:54:36.444,5.184,-0.029,-0.016,0.034
1681293276454,2023-04-12T11:54:36.454,5.194,-0.026,-0.029,0.045
1681293276464,2023-04-12T11:54:36.464,5.204,-0.026,-0.038,0.043
1681293276475,2023-04-12T11:54:36.475,5.215,-0.025,-0.035,0.036
1681293276485,2023-04-12T11:54:36.485,5.225,-0.015,-0.028,0.046
1681293276494,2023-04-12T11:54:36.494,5.234,-0.011,-0.024,0.054
1681293276504,2023-04-12T11:54:36.504,5.244,-0.013,-0.018,0.040
1681293276514,2023-04-12T11:54:36.514,5.254,-0.006,0.001,0.034
1681293276524,2023-04-12T11:54:36.524,5.264,0.003,0.016,0.041
1681293276535,2023-04-12T11:54:36.535,5.275,-0.005,0.027,0.030
1681293276543,2023-04-12T11:54:36.543,5.283,-0.017,0.031,0.019
1681293276554,2023-04-12T11:54:36.554,5.294,-0.025,0.024,0.025
1681293276564,2023-04-12T11:54:36.564,5.304,-0.029,0.007,0.042
1681293276574,2023-04-12T11:54:36.574,5.314,-0.034,-0.008,0.049
1681293276584,2023-04-12T11:54:36.584,5.324,-0.032,-0.021,0.049
1681293276593,2023-04-12T11:54:36.593,5.333,-0.026,-0.030,0.051
1681293276603,2023-04-12T11:54:36.603,5.343,-0.013,-0.035,0.062
1681293276614,2023-04-12T11:54:36.614,5.354,-0.002,-0.035,0.063
1681293276624,2023-04-12T11:54:36.624,5.364,0.011,-0.025,0.071
1681293276633,2023-04-12T11:54:36.633,5.373,0.024,-0.006,0.096
1681293276643,2023-04-12T11:54:36.643,5.383,0.022,0.022,0.092
1681293276653,2023-04-12T11:54:36.653,5.393,0.022,0.044,0.075
1681293276664,2023-04-12T11:54:36.664,5.404,0.022,0.054,0.080
1681293276674,2023-04-12T11:54:36.674,5.414,-0.004,0.039,0.088
1681293276683,2023-04-12T11:54:36.683,5.423,-0.029,0.024,0.095
1681293276693,2023-04-12T11:54:36.693,5.433,-0.039,0.020,0.096
1681293276703,2023-04-12T11:54:36.703,5.443,-0.044,0.012,0.108
1681293276713,2023-04-12T11:54:36.713,5.453,-0.058,0.004,0.097
1681293276724,2023-04-12T11:54:36.724,5.464,-0.077,-0.000,0.085
1681293276732,2023-04-12T11:54:36.732,5.472,-0.082,-0.005,0.092
1681293276743,2023-04-12T11:54:36.743,5.483,-0.077,-0.006,0.092
1681293276753,2023-04-12T11:54:36.753,5.493,-0.060,-0.004,0.088
1681293276763,2023-04-12T11:54:36.763,5.503,-0.047,0.011,0.086
1681293276773,2023-04-12T11:54:36.773,5.513,-0.052,0.022,0.084
1681293276782,2023-04-12T11:54:36.782,5.522,-0.064,0.023,0.081
1681293276792,2023-04-12T11:54:36.792,5.532,-0.069,0.018,0.080
1681293276803,2023-04-12T11:54:36.803,5.543,-0.057,0.000,0.088
1681293276813,2023-04-12T11:54:36.813,5.553,-0.055,-0.020,0.097
1681293276823,2023-04-12T11:54:36.823,5.563,-0.060,-0.032,0.111
1681293276832,2023-04-12T11:54:36.832,5.572,-0.059,-0.038,0.118
1681293276842,2023-04-12T11:54:36.842,5.582,-0.060,-0.036,0.111
1681293276852,2023-04-12T11:54:36.852,5.592,-0.060,-0.019,0.104
1681293276863,2023-04-12T11:54:36.863,5.603,-0.062,-0.007,0.104
1681293276872,2023-04-12T11:54:36.872,5.612,-0.061,-0.006,0.104
1681293276882,2023-04-12T11:54:36.882,5.622,-0.057,0.005,0.101
1681293276892,2023-04-12T11:54:36.892,5.632,-0.054,0.020,0.107
1681293276902,2023-04-12T11:54:36.902,5.642,-0.054,0.018,0.103
1681293276913,2023-04-12T11:54:36.913,5.653,-0.063,-0.007,0.087
1681293276921,2023-04-12T11:54:36.921,5.661,-0.084,-0.020,0.095
1681293276932,2023-04-12T11:54:36.932,5.672,-0.094,-0.025,0.094
1681293276942,2023-04-12T11:54:36.942,5.682,-0.079,-0.027,0.080
1681293276952,2023-04-12T11:54:36.952,5.692,-0.071,-0.015,0.061
1681293276962,2023-04-12T11:54:36.962,5.702,-0.060,0.009,0.046
1681293276971,2023-04-12T11:54:36.971,5.711,-0.034,0.020,0.031
1681293276983,2023-04-12T11:54:36.983,5.723,-0.014,0.019,0.023
1681293276992,2023-04-12T11:54:36.992,5.732,-0.008,0.010,0.021
1681293277002,2023-04-12T11:54:37.002,5.742,-0.005,-0.009,0.016
1681293277012,2023-04-12T11:54:37.012,5.752,0.002,-0.021,0.001
1681293277021,2023-04-12T11:54:37.021,5.761,0.007,-0.027,0.001
1681293277031,2023-04-12T11:54:37.031,5.771,0.010,-0.017,0.002
1681293277041,2023-04-12T11:54:37.041,5.781,0.016,-0.006,-0.001
1681293277052,2023-04-12T11:54:37.052,5.792,0.031,-0.010,0.005
1681293277062,2023-04-12T11:54:37.062,5.802,0.036,-0.012,0.008
1681293277071,2023-04-12T11:54:37.071,5.811,0.031,-0.013,0.005
1681293277081,2023-04-12T11:54:37.081,5.821,0.028,-0.017,0.001
1681293277091,2023-04-12T11:54:37.091,5.831,0.022,-0.020,-0.009
1681293277102,2023-04-12T11:54:37.102,5.842,0.020,-0.025,-0.014
1681293277112,2023-04-12T11:54:37.112,5.852,0.018,-0.038,-0.014
1681293277121,2023-04-12T11:54:37.121,5.861,0.022,-0.046,-0.012
1681293277131,2023-04-12T11:54:37.131,5.871,0.030,-0.045,-0.005
1681293277141,2023-04-12T11:54:37.141,5.881,0.037,-0.034,-0.005
1681293277151,2023-04-12T11:54:37.151,5.891,0.036,-0.025,0.008
1681293277162,2023-04-12T11:54:37.162,5.902,0.032,-0.022,0.020
1681293277170,2023-04-12T11:54:37.170,5.910,0.027,-0.012,0.024
1681293277181,2023-04-12T11:54:37.181,5.921,0.021,-0.000,0.021
1681293277191,2023-04-12T11:54:37.191,5.931,0.021,0.003,0.015
1681293277201,2023-04-12T11:54:37.201,5.941,0.030,0.003,0.024
1681293277210,2023-04-12T11:54:37.210,5.950,0.029,0.001,0.029
1681293277220,2023-04-12T11:54:37.220,5.960,0.017,0.000,0.028
1681293277230,2023-04-12T11:54:37.230,5.970,0.017,0.008,0.033
1681293277241,2023-04-12T11:54:37.241,5.981,0.017,0.005,0.037
1681293277251,2023-04-12T11:54:37.251,5.991,0.014,-0.004,0.035
1681293277260,2023-04-12T11:54:37.260,6.000,0.021,-0.008,0.037
1681293277270,2023-04-12T11:54:37.270,6.010,0.032,-0.010,0.039
1681293277280,2023-04-12T11:54:37.280,6.020,0.039,-0.017,0.031
1681293277290,2023-04-12T11:54:37.290,6.030,0.042,-0.027,0.031
1681293277301,2023-04-12T11:54:37.301,6.041,0.034,-0.032,0.037
1681293277311,2023-04-12T11:54:37.311,6.051,0.025,-0.036,0.046
1681293277320,2023-04-12T11:54:37.320,6.060,0.032,-0.052,0.063
1681293277330,2023-04-12T11:54:37.330,6.070,0.034,-0.059,0.076
1681293277340,2023-04-12T11:54:37.340,6.080,0.035,-0.049,0.076
1681293277351,2023-04-12T11:54:37.351,6.091,0.042,-0.033,0.076
1681293277359,2023-04-12T11:54:37.359,6.099,0.044,-0.027,0.081
1681293277370,2023-04-12T11:54:37.370,6.110,0.037,-0.026,0.086
1681293277380,2023-04-12T11:54:37.380,6.120,0.031,-0.030,0.091
1681293277390,2023-04-12T11:54:37.390,6.130,0.031,-0.024,0.093
1681293277400,2023-04-12T11:54:37.400,6.140,0.031,-0.019,0.090
1681293277409,2023-04-12T11:54:37.409,6.149,0.033,-0.021,0.100
1681293277419,2023-04-12T11:54:37.419,6.159,0.029,-0.020,0.101
1681293277430,2023-04-12T11:54:37.430,6.170,0.023,-0.010,0.091
1681293277440,2023-04-12T11:54:37.440,6.180,0.042,-0.021,0.074
1681293277450,2023-04-12T11:54:37.450,6.190,0.052,-0.053,0.049
1681293277459,2023-04-12T11:54:37.459,6.199,0.053,-0.073,0.052
1681293277469,2023-04-12T11:54:37.469,6.209,0.074,-0.062,0.076
1681293277479,2023-04-12T11:54:37.479,6.219,0.086,-0.038,0.089
1681293277490,2023-04-12T11:54:37.490,6.230,0.097,-0.007,0.099
1681293277498,2023-04-12T11:54:37.498,6.238,0.097,0.012,0.088
1681293277509,2023-04-12T11:54:37.509,6.249,0.098,0.019,0.064
1681293277519,2023-04-12T11:54:37.519,6.259,0.098,0.024,0.038
1681293277529,2023-04-12T11:54:37.529,6.269,0.092,0.035,0.018
1681293277540,2023-04-12T11:54:37.540,6.280,0.079,0.049,-0.003
1681293277550,2023-04-12T11:54:37.550,6.290,0.052,0.051,-0.023
1681293277559,2023-04-12T11:54:37.559,6.299,0.051,0.055,-0.036
1681293277569,2023-04-12T11:54:37.569,6.309,0.045,0.079,-0.061
1681293277579,2023-04-12T11:54:37.579,6.319,0.039,0.080,-0.122
1681293277589,2023-04-12T11:54:37.589,6.329,0.041,0.063,-0.138
1681293277598,2023-04-12T11:54:37.598,6.338,0.055,0.027,-0.129
1681293277608,2023-04-12T11:54:37.608,6.348,0.075,-0.023,-0.147
1681293277619,2023-04-12T11:54:37.619,6.359,0.078,-0.034,-0.136
1681293277629,2023-04-12T11:54:37.629,6.369,0.028,-0.008,-0.128
1681293277639,2023-04-12T11:54:37.639,6.379,-0.049,0.000,-0.136
1681293277648,2023-04-12T11:54:37.648,6.388,-0.076,-0.004,-0.084
1681293277658,2023-04-12T11:54:37.658,6.398,-0.070,0.013,0.051
1681293277668,2023-04-12T11:54:37.668,6.408,-0.147,0.007,0.103
1681293277679,2023-04-12T11:54:37.679,6.419,-0.199,0.007,0.116
1681293277689,2023-04-12T11:54:37.689,6.429,-0.216,0.015,0.168
1681293277698,2023-04-12T11:54:37.698,6.438,-0.206,0.031,0.206
1681293277708,2023-04-12T11:54:37.708,6.448,-0.194,0.015,0.253
1681293277718,2023-04-12T11:54:37.718,6.458,-0.177,-0.041,0.308
1681293277728,2023-04-12T11:54:37.728,6.468,-0.160,-0.102,0.382
1681293277739,2023-04-12T11:54:37.739,6.479,-0.191,-0.172,0.470
1681293277748,2023-04-12T11:54:37.748,6.488,-0.254,-0.213,0.591
1681293277758,2023-04-12T11:54:37.758,6.498,-0.358,-0.223,0.726
1681293277768,2023-04-12T11:54:37.768,6.508,-0.458,-0.217,0.833
1681293277778,2023-04-12T11:54:37.778,6.518,-0.489,-0.200,0.894
1681293277789,2023-04-12T11:54:37.789,6.529,-0.472,-0.094,0.935
1681293277797,2023-04-12T11:54:37.797,6.537,-0.522,0.097,0.937
1681293277808,2023-04-12T11:54:37.808,6.548,-0.665,0.284,0.896
1681293277818,2023-04-12T11:54:37.818,6.558,-0.776,0.439,0.826
1681293277828,2023-04-12T11:54:37.828,6.568,-0.876,0.519,0.739
1681293277837,2023-04-12T11:54:37.837,6.577,-0.850,0.507,0.656
1681293277847,2023-04-12T11:54:37.847,6.587,-0.802,0.484,0.560
1681293277857,2023-04-12T11:54:37.857,6.597,-0.818,0.388,0.391
1681293277868,2023-04-12T11:54:37.868,6.608,-0.730,0.184,0.229
1681293277878,2023-04-12T11:54:37.878,6.618,-0.613,-0.035,0.087
1681293277887,2023-04-12T11:54:37.887,6.627,-0.567,-0.111,-0.014
1681293277897,2023-04-12T11:54:37.897,6.637,-0.384,-0.128,-0.097
1681293277907,2023-04-12T11:54:37.907,6.647,-0.061,-0.082,-0.168
1681293277917,2023-04-12T11:54:37.917,6.657,0.269,-0.012,-0.142
1681293277928,2023-04-12T11:54:37.928,6.668,0.568,0.100,0.012
1681293277936,2023-04-12T11:54:37.936,6.676,0.867,0.300,0.191
1681293277947,2023-04-12T11:54:37.947,6.687,1.096,0.561,0.243
1681293277957,2023-04-12T11:54:37.957,6.697,1.298,0.785,0.188
1681293277967,2023-04-12T11:54:37.967,6.707,1.496,0.868,0.234
1681293277977,2023-04-12T11:54:37.977,6.717,1.216,0.690,-0.095
1681293277986,2023-04-12T11:54:37.986,6.726,0.929,0.481,-0.394
1681293277997,2023-04-12T11:54:37.997,6.737,0.675,0.276,-0.537
1681293278007,2023-04-12T11:54:38.007,6.747,0.306,0.218,-0.288
1681293278017,2023-04-12T11:54:38.017,6.757,-0.215,0.253,-0.182
1681293278027,2023-04-12T11:54:38.027,6.767,-0.622,0.304,-0.220
1681293278038,2023-04-12T11:54:38.038,6.778,-0.588,0.178,0.012
1681293278046,2023-04-12T11:54:38.046,6.786,-0.826,-0.273,0.105
1681293278057,2023-04-12T11:54:38.057,6.797,-1.401,-0.596,-0.060
1681293278067,2023-04-12T11:54:38.067,6.807,-1.558,-0.669,-0.155
1681293278077,2023-04-12T11:54:38.077,6.817,-1.248,-0.621,0.124
1681293278086,2023-04-12T11:54:38.086,6.826,-1.204,-0.665,0.298
1681293278096,2023-04-12T11:54:38.096,6.836,-1.421,-0.825,0.441
1681293278106,2023-04-12T11:54:38.106,6.846,-1.592,-1.061,0.514
1681293278117,2023-04-12T11:54:38.117,6.857,-1.216,-0.995,0.472
1681293278125,2023-04-12T11:54:38.125,6.865,-0.779,-0.599,-0.026
1681293278136,2023-04-12T11:54:38.136,6.876,-0.364,-0.258,-0.309
1681293278146,2023-04-12T11:54:38.146,6.886,0.078,-0.050,-0.135
1681293278156,2023-04-12T11:54:38.156,6.896,0.058,0.097,-0.106
1681293278166,2023-04-12T11:54:38.166,6.906,0.123,0.375,-0.081
1681293278175,2023-04-12T11:54:38.175,6.915,0.335,0.544,-0.054
1681293278186,2023-04-12T11:54:38.186,6.926,0.502,0.662,-0.013
1681293278196,2023-04-12T11:54:38.196,6.936,0.747,0.773,0.023
1681293278206,2023-04-12T11:54:38.206,6.946,1.118,0.884,0.040
1681293278216,2023-04-12T11:54:38.216,6.956,1.398,0.836,0.136
1681293278225,2023-04-12T11:54:38.225,6.965,1.548,0.585,0.194
1681293278235,2023-04-12T11:54:38.235,6.975,1.699,0.424,0.225
1681293278246,2023-04-12T11:54:38.246,6.986,1.807,0.384,0.231
1681293278256,2023-04-12T11:54:38.256,6.996,1.621,0.497,0.075
